flightdate,origincityname,crsdeptime,depdelay,distance,marketing_airline_network,hour,delayed,city_clean,latitude,longitude,temp_mean,precipitation,wind_speed
2018-01-18,"Dallas/Fort Worth, TX",1425,48.0,354.0,AA,14,1,Dallas/Fort Worth,32.89595,-97.0372,-2.0,0.0,9.2
2018-01-02,"Houston, TX",2300,1.0,1390.0,WN,23,0,Houston,29.76328,-95.36327,-0.5,0.0,14.6
2018-01-20,"Houston, TX",1745,-3.0,253.0,UA,17,0,Houston,29.76328,-95.36327,15.4,2.5,15.0
2018-01-08,"Atlanta, GA",1906,-2.0,1747.0,F9,19,0,Atlanta,33.749,-84.38798,-0.3,6.8,14.6
2018-01-23,"Honolulu, HI",1435,-6.0,100.0,HA,14,0,Honolulu,21.30694,-157.85834,23.2,0.1,22.6
2018-01-12,"Honolulu, HI",717,-4.0,163.0,HA,7,0,Honolulu,21.30694,-157.85834,22.4,0.0,6.5
2018-01-24,"Houston, TX",944,-5.0,781.0,UA,9,0,Houston,29.76328,-95.36327,9.5,0.0,10.0
2018-01-04,"Charlotte, NC",730,30.0,347.0,AA,7,1,Charlotte,35.22709,-80.84313,-4.0,0.0,15.2
2018-01-12,"New York, NY",1534,168.0,1069.0,DL,15,1,New York,40.71427,-74.00597,10.6,24.1,21.6
2018-01-15,"Dallas/Fort Worth, TX",600,-3.0,1235.0,NK,6,0,Dallas/Fort Worth,32.89595,-97.0372,7.1,0.1,12.2
2018-01-19,"New York, NY",920,16.0,585.0,F9,9,1,New York,40.71427,-74.00597,-2.2,0.0,11.9
2018-01-02,"Atlanta, GA",1052,0.0,1547.0,F9,10,0,Atlanta,33.749,-84.38798,-5.6,0.0,9.7
2018-01-23,"Detroit, MI",1755,-2.0,2079.0,DL,17,0,Detroit,42.33143,-83.04575,4.7,3.1,23.2
2018-01-31,"Dallas/Fort Worth, TX",1840,-2.0,247.0,AA,18,0,Dallas/Fort Worth,32.89595,-97.0372,13.3,0.0,26.7
2018-01-27,"Baltimore, MD",1810,-2.0,925.0,WN,18,0,Baltimore,39.29038,-76.61219,4.9,0.0,13.6
2018-01-01,"Orlando, FL",1050,4.0,937.0,WN,10,0,Orlando,28.53834,-81.37924,12.8,4.9,13.6
2018-01-08,"Dallas/Fort Worth, TX",700,-3.0,802.0,NK,7,0,Dallas/Fort Worth,32.89595,-97.0372,10.3,3.6,17.8
2018-01-24,"Houston, TX",1000,-4.0,744.0,UA,10,0,Houston,29.76328,-95.36327,9.5,0.0,10.0
2018-01-24,"Dallas/Fort Worth, TX",1830,-5.0,695.0,AA,18,0,Dallas/Fort Worth,32.89595,-97.0372,6.6,0.0,5.8
2018-01-27,"Baltimore, MD",1920,3.0,2329.0,WN,19,0,Baltimore,39.29038,-76.61219,4.9,0.0,13.6
